номер  п/п,Артикул,Наименование,Описание,Ед. изм.,Кол-во листов,Цена,Цена с НДС,РРЦ,Формат,Класс,Материал,"Карты, стенды, таблицы",Эдустронг,ПУНКТ ПРИКАЗА 1
9,10704-НШ00006,"Комплект таблиц ""Падежи-человечки""","Комплектность: таблицы – 6 шт., паспорт. Формат А3.
Пособие предназначено для использования в качестве демонстрационного материала на уроках русского языка в начальной школе при изучении темы ""Имя существительное"". На таблицах даны графические изображения шести падежей в виде человечков, которые демонстрируют смысл вспомогательного слова, названия падежей, вспомогательные слова и соответствующие вопросы.",компл,6,520,650,1276.8,А3,Начальная школа,Бумага,Таблицы,Да,2.1.8.
10,6205-НШ00034,Таблицы демонстрационные «Русский язык 1 класс»,"Комплект из 10 таблиц.
Комплектность:  1. Правописание предлогов. 2. Гласные звуки и буквы. 3. Согласные звуки. 4. Правописание согласных в корне. 5. Правописание безударных гласных в корне. 6. Члены предложения. 7. Гласные после шипящих. 8. Сочетания букв. 9. Перенос слова 10. Правописание парных согласных звуков в конце слова.",компл,10,1680,2100,3752,680х980,Начальная школа,Бумага,Таблицы,Да,2.1.7.
11,SC008-ФИЛ00001,Русский язык 1 класс," В комплекте 24 таблицы (размер 680х980мм): 1. Устная и письменная речь2. Слово предложение текст 3. Слова которые отвечают на вопрос кто что  4. Слова которые отвечают на вопрос какой какая 5. Слова которые отвечают на вопрос что делал что делает 6. Слово слог ударение7. Русский алфавит8. Гласные звуки и буквы9. Согласные звуки и буквы10. Непарные согласные11. Обозначение мягкости согласных на письме12. звук й и его обозначение на письме 13. Буквы не обозначающие звуков ъ и ь 14. Перенос слов15. Правописание парных звуков  в конце слова16. Правописание звуков в середине слова17. Правописание предлогов18. Правописание имен собственных19.  Гласные буквы после шипящих. Жи-ши, ЧА-ЩА, ЧУ-ЩУ20.Гласные буквы в ударных и безударных слогах (безударная гласная)21. Правописание сочетаниий ЧН, ЧК, ЩН, РЩ22. Словарные слова23. Правописание.24. Развитие речи.",компл,24,4200,5250,9072,680х980,Начальная школа,Бумага,Таблицы,,2.1.7.
12,SC009-ФИЛ00002,Русский язык 2 класс,В комплекте 16 таблиц (размер 680х980мм): 1. Слово слог  перенос слов. 2. Предложение. Связь слов в предложении. 3. Текст. Связь предложений в тексте. 4. Типы текста описание и повествование.5. Алфавит. Звуки и буквы русского алфавита.  6. Обозначение мягкости и твердости согласных на письме. 7. Ударение. Ударные и безударные гласные. 8. Правописание буквосочетаний с шипящими звуками. 9. Разделительный Ь в словах. 10. Правописание звонких и глухих согласных на конце и в середине слова. 11. Мягкий знак - показатель мягкости согласных звуков. 12. Правописание удвоенных согласных. 13. Заглавная буква в именах собственных. 14. Безударные гласные в корне слова. 15. Развитие навыков чтения и письма. 16. Развитие словарного запаса.,компл,14,2450,3062.5,5252.8,680х980,Начальная школа,Бумага,Таблицы,,2.1.7.
13,SC010-ФИЛ00003,Русский язык 3 класс. Часть 1  ,В комплекте 18 таблиц (размер 680х980мм): 1. Типы текстов 2. Корень слова3. Сложные слова и их правописание 4. Правописание приставок и предлогов 5. Суффиксы6. Разбор слова по составу7. Разделительные ь и ъ8. правописание согласных в корне слова 9. Непроизносимые согласные в корне слова 10. Чередование согласных звуков в корне слова11. Безударные гласные в корне слова 12. Удвоенные (двойные) согласные в корне слова13. Написание удвоенных согласных на стыке частей слова 14. Мягкий знак после шипящих на конце имён существительных 15. Правописание безударных гласных в окончаниях прилагательных 16. Правописание НЕ с глаголами17. Составление предложений из слов и словосочетаний. 18. Словарные слова и их значение.,компл,18,3150,3937.5,6742.4,680х980,Начальная школа,Бумага,Таблицы,,2.1.7.
14,SC011-ФИЛ00004,Русский язык 4 класс часть 1,"В комплекте 14 таблиц (размер 680х980мм):1. Звук.Ударение. Фонетический разбор2. Типы текстов3. Изложение и сочинение 4. Типы предложений по цели высказывания5. Связь слов в предложении.  Словосочетание 6. Словосочетание. Главное и зависимое слово в словосочетании7. Предложение с однородными членами с союзами и без союзов8. Сложные предложения с союзами И,А,НО9. Предложение с прямой речью 10. Связь слов в предложении. Синтаксический разбор 11. Омноимы, синонимы. Антонимы12. Многозначные слова13. Фразеологизмы и поговорки. 14. число, род, склонение.",компл,14,2275,2843.75,5252.8,680х980,Начальная школа,Бумага,Таблицы,,2.1.7.
15,SC012-ФИЛ00005,Русский язык 4 класс часть 2.,В комплекте 18 таблиц (размер 680х980мм): 1. Изменение имен существительных по падежам во множественном числе2. Три склонения имен существительных 3. Морфологический разбор имен существительных4. Изменение имён прилагательных по числам и падежам 5. Морфологический разбор имен прилагательного6. Изменение глаголов по временам 7. Спряжение глагола8. Правописание личных окончаний глаголов 9. Морфологический разбор глагола 10. Местоимение как часть речи 11. Правописание безударных падежных окончаний имён 12. Безударные падежные окончания имен прилагательных13. Правописание ь после шипящих в глаголах 2 лица единственного числа 14. Правописание ь после шипящих на конце имен существительных15. Правописание безударных личных окончаний глаголов 16. Правописание НЕ с глаголами17. Знаки препинания.18.Части речи.,компл,18,3150,3937.5,6742.4,680х980,Начальная школа,Бумага,Таблицы,,2.1.7.
16,7319-НШ00007,"Комплект таблиц ""Русский алфавит"""," Формат А1.Ламинирование.
 Пособие предназначено для использования в качестве демонстрационного материала на уроках обучения грамоте и русского языка в начальной школе. 
Комплектность: 
таблица ""Печатные буквы"" – 1 шт., 
таблица ""Прописные буквы"" – 1 шт., 
таблица ""Буквы алфавита в картинках"" – 1 шт.,
 таблица ""Сводная таблица. 
Печатные, прописные буквы и их названия"" – 1 шт.,
паспорт. ",компл,4,600,750,1814.4,А1,Начальная школа,Бумага,Таблицы,Да,2.1.7.
17,14779-НШ00008,"Комплект таблиц ""Склонение имен существительных""","Формат А3. Ламинирование.
Пособие предназначено для использования в качестве демонстрационного материала на уроках русского языка в начальной школе при изучении темы «Склонение имен существительных». Таблицы посвящены 3 склонениям имен существительных.
 ",компл,4,250,312.5,1254.4,А3,Начальная школа,Бумага,Таблицы,Да,2.1.7.
18,9633-НШ00009,Комплект таблиц для демонстрации техники письма на линейках и в клетках А3,"Формат А3
В комплект входят: демонстрационные таблицы – 4 шт., маркеры – 2 шт., магнитные кнопки – 4 шт., паспорт. 
Пособие предназначено для использования в качестве демонстрационного материала при обучении правильному начертанию букв и цифр.
В комплект входят следующие таблицы: таблица для демонстрации техники письма букв на узких линейках, таблица для демонстрации техники письма букв на широких линейках, таблица для демонстрации техники письма цифр в крупных клетках, таблица для демонстрации правильного оформления математических записей. Таблицы ламинированы глянцевой пленкой, применяются по принципу ""пиши–стирай"". Используется маркер для белых досок. Написанное стирается сухой тряпкой.",компл,,506,632.5,1680,А3,Начальная школа,Бумага,Таблицы,Да,2.1.7.
19,8095-НШ00010,"Комплект таблиц для нач. шк. ""Обучение грамоте. Алфавит в загадках, пословицах"" ","Формат А1. Ламинирование.
Комплект содержит : 
Таблицы: 1. Буква А 2. Буква Я 3. Буква О 4. Буква Ё 5. Буква У 6. Буква Ю 7. Буква Ы 8. Буква И 9. Буква Э 10. Буква Е 11. Буква Б 12. Буква П 13. Буква В 14. Буква Ф 15. Буква Г 16. Буква К 17. Буква Д 18. Буква Т 19. Буква Ж 20. Буква Ш 21. Буква З 22. Буква С 23. Буква Л 24. Буква М 25. Буква Н 26. Буква Р 27. Буква Й 28. Буквы Ъ и Ь 29. Буква Х 30. Буква Ц 31. Буква Ч 32. Буква Щ. Паспорт в комплекте.  ",компл,32,4800,6000,14515.2,А1,Начальная школа,Бумага,Таблицы,Да,2.1.7.
20,8943-НШ00012,"Комплект таблиц для нач. шк. ""Русский язык. Глагол"" ","Формат А1. Ламинирование.
Комплект содержит:
Таблицы: 1. Слова, которые отвечают на вопросы ЧТО ДЕЛАЛ? ЧТО ДЕЛАЕТ? ЧТО СДЕЛАЕТ? 2. Понятие о глаголе. 3. Неопределённая форма глагола. 4. Изменение глаголов по временам. 5. Изменение глаголов прошедшего времени по родам. 6. Изменение глаголов по числам. 7. I и II спряжение глаголов. 8. Глаголы-исключения. 9. Определение спряжения глагола. 10. Морфологический разбор глагола. 11. Значение глаголов. 12. Типы текста. Текст-рассуждение. Паспорт в комплекте  ",компл,12,1800,2250,5443.2,А1,Начальная школа,Бумага,Таблицы,Да,2.1.7.
21,8838-НШ00013,"Комплект таблиц для нач. шк. ""Русский язык. Имя прилагательное"" ","Комплект из 12 таблиц. Формат А1. Ламинирование.
Комплект содержит:
Таблицы: 1. Слова, которые отвечают на вопросы Какой? Какая? Какое? Какие? 2. Понятие об имени прилагательном. 3. Связь имени прилагательного с именем существительным. 4. Изменение по родам имён прилагательных. 5. Изменение по числам имён прилагательных. 6. Изменение по падежам имён прилагательных мужского рода. 7. Изменение по падежам имён прилагательных женского рода. 8. Изменение по падежам имён прилагательных среднего рода. 9. Изменение по падежам имён прилагательных во множественном числе. 10. Морфологический разбор имени прилагательного. 11. Типы текста. Текст-описание (1). 12. Типы текста. Текст-описание (2). Паспорт в комплекте ",компл,12,1800,2250,5443.2,А1,Начальная школа,Бумага,Таблицы,Да,2.1.7.
22,6939-НШ00014,"Комплект таблиц для нач. шк. ""Русский язык. Имя существительное"" ","Комплект из 12 таблиц. Формат А1. Ламинирование.
Комплект содержит: 
Таблицы: 1. Слова, которые отвечают на вопросы КТО? ЧТО? 2. Связь слов в предложении. 3. Понятие об имени существительном. 4. Число имен существительных. 5. Род имен существительных. 6. Образование имен существительных при помощи суффиксов. 7. Первое склонение имен существительных. 8. Второе склонение имен существительных. 9. Третье склонение имен существительных. 10. Изменение имен существительных по падежам. 11. Падежи и предлоги. 12. Морфологический разбор имени существительного. Паспорт в комплекте",компл,12,1800,2250,5443.2,А1,Начальная школа,Бумага,Таблицы,Да,2.1.7.
23,8659-НШ00015,"Комплект таблиц для нач. шк. ""Русский язык. Местоимение"" ","Комплект из 8 таблиц. Формат А1. Ламинирование.
Комплект содержит:
Таблицы: 1. Личные местоимения. 2. Роль личных местоимений в речи. 3. Изменение по падежам личных местоимений 1-го лица. 4. Изменение по падежам личных местоимений 2-го лица. 5. Изменение по падежам личных местоимений 3-го лица единственного числа. 6. Изменение по падежам личных местоимений 3-го лица множественного числа. 7. Роль личных местоимений в тексте-повествовании. 8. Морфологический разбор личного местоимения. Паспорт в комплекте",компл,8,1200,1500,3628.8,А1,Начальная школа,Бумага,Таблицы,Да,2.1.7.
24,9593-НШ00016,"Комплект таблиц для нач. шк. ""Русский язык. Орфография""","Комплект из 14 таблиц. Формат А1. Ламинирование. Комплект содержит: 
1. Правописание безударных гласных в корне слова. 2. Правописание парных согласных в корне слова. 3. Правописание непроизносимых согласных в корне слова. 4. Ь после шипящих на конце имён существительных. 5. Правописание разделительных Ъ и Ь. 6. Правописание –ТЬСЯ и –ТСЯ в глаголах. 7. Правописание Ь в окончаниях глаголов 2-го лица единственного числа. 8. Правописание удвоенных согласных в словах. 9. Правописание приставок и предлогов. 10. Правописание безударных падежных окончаний имён существительных. 11. Фонетический разбор. Йотированные буквы. 12. Фонетический разбор. Непарные согласные звуки. 13. Фонетический разбор слова. 14. Разбор слова по составу. Паспорт в комплекте  ",компл,14,2100,2625,6350.4,А1,Начальная школа,Бумага,Таблицы,Да,2.1.7.
25,8944-НШ00017,"Комплект таблиц для нач. шк. ""Русский язык. Предложение"" ","Комплект из 6 таблиц. Формат А1. Ламинирование. Комплект содержит: 
1. Прямая речь. 2. Простые и сложные предложения. 3. Второстепенные члены предложения. 4. Однородные члены предложения. 5. Виды предложений по интонации и цели высказывания. 6. Синтаксический разбор предложения. Паспорт в комплекте  ",компл,6,900,1125,2721.6,А1,Начальная школа,Бумага,Таблицы,Да,2.1.7.
26,154-НШ00023,"Опорные таблицы по русскому языку.
1 класс","Комплект из 11 таблиц: 
1. Знаки препинания в конце предложения. 2. “ЖИ”-“ШИ”, “ЧА”-“ЩА”, “ЧУ-ЩУ”. 3. Перенос слова. 4. Безударные гласные. 5. Парные согласные. 6. Фонетический разбор слова. 7. Слова, обозначающие признак. 8. Слова, обозначающие предмет. 9. Слова, обозначающие действие. 10. Члены предложения. 11. Алфавит. Паспорт Формат А3",компл,11,537,671.25,683.2,А3,Начальная школа,Бумага,Таблицы,Да,2.1.7.
27,155-НШ00024,"Опорные таблицы по русскому языку.
 2 класс","Комплект из 22 таблиц:
 1. Разбор предложения по членам предложения. 2. Порядок разбора состава слова. 3. Однокоренные слова, форма слова. 4. Состав слова. 5. Непроизносимые согласные. 6. Сочетание “СН” без “Т”. 7. Правописание приставки. 8. Правописание предлога. 9. Суффиксы. 10. Сочетание “ЧК”, “ЧН”. 11. Разделительный “Ъ”. 12. Род имени существительных. 13. Число имен существительных. 14. Мягкий знак у существительных после шипящих. 15. Род имени прилагательных. 16. Число имен прилагательных. 17. Безударные окончания имен прилагательных. 18. Неопределенная форма глагола. 19. Время глагола. 20. “НЕ” с глаголами. 21. Сводная таблица правил корня. 22. Части речи. Паспорт Формат А3",компл,22,933,1166.25,1142.4,А3,Начальная школа,Бумага,Таблицы,Да,2.1.7.
28,7322-НШ00029,"Таблица демонстрационная ""Русский алфавит в картинках""","Размер 70х100. Изготовлена на виниле. 
Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,1,750,937.5,1545.6,700x1000,Начальная школа,Винил,Таблицы,Да,2.1.7.
29,9632-НШ00021,"Модель-аппликация ""Звуки и буквы русского языка"" ","Ламинированное пособие. 
Комплектность: 
таблица ""Буквы (можем видеть и писать)"" – 1 шт., таблица ""Звуки (можем слышать и произносить)"" – 1 шт., таблица ""Характеристика букв"" – 1 шт., таблица ""Характеристика звуков"" – 1 шт., карточки с подписями к таблицам (А1–А12) – по 1 шт., карточки-картинки (А13–А111) – по 1 шт., карточки-слова (А112–А210) – по 1 шт., карточки с буквами русского алфавита (А211–А243) – по 1 шт., карточки со звуками русского языка (А244–А274) – по 1 шт., карточка с обозначением транскрипционных скобок (А275) – 1 шт., магнитные кнопки – 12 шт., паспорт. 
Материалы пособия дают возможность организации различных форм деятельности учащихся на уроке (коллективной, групповой, индивидуальной), создают условия для начала проектной деятельности, т.е. отвечают требованиям, предъявляемым ФГОС НОО к учебному процессу. 
Пособие носит интегративный характер, сочетая демонстрационные таблицы, демонстрационно-раздаточные и иллюстративно-изобразительные карточки.
Демонстрационные таблицы напечатаны на мелованной бумаге формата А2 (полноцветная печать) и ламинированы матовой пленкой. Карточки напечатаны на картоне и также ламинированы матовой пленкой. ",шт,Нет,3990,4987.5,8400,,Начальная школа,Бумага,,Да,2.1.11.
30,4417-НШ00001,Пособие «Азбука подвижная»,"Азбука подвижная (ламинированная, с магнит.креплением).
Предназначена для использования на уроках обучения грамоте в начальной школе.
.
Комплектность: карточки с буквами и знаками на белом фоне – 137 шт., карточки с буквами на красном, синем и зеленом фоне – 129 шт., карточки для обозначения звуков и слияний – 14 шт., пластиковые карманы с магнитами для установки карточек – 3 шт., руководства по эксплуатации со схемами укладки карточек – 1 шт., паспорт.
Пособие представляет собой набор карточек с буквами, знаками и графическим изображением звуков и слияний. В комплекте представлены прописные и строчные печатные буквы. ",шт,,685,856.25,4323.2,,Начальная школа,Бумага,,Да,2.1.7.
31,4419-НШ00003,Пособие «Касса букв классная» ,"Ламинированное пособие с магнитным креплением.
Касса букв классная предназначена для обучения грамоте в начальных классах общеобразовательной школы и в детских садах.
Пособие представляет собой набор карточек, на которых отпечатаны буквы и знаки препинания, уложенные в коробку. В состав пособия входят также три пластмассовых кармана с магнитами для установки в них карточек для показа новых букв, составления слогов и слов.
Комплектность: карточки с буквами и знаками на белом фоне – 132 шт., пластиковые карманы с магнитами для установки карточек – 3 шт., паспорт. ",шт,Нет,470,587.5,2353.6,,Начальная школа,Бумага,,Да,2.1.7.
32,7942-НШ00004,Пособие «Касса слогов демонстрационная»,"Ламинированное пособие с магнитным креплением.
Пособие предназначено для использования на уроках обучения грамоте в начальной школе, а также в детском саду.
Пособие представляет собой набор карточек, на которых напечатаны цветные двухбуквенные открытые и закрытые слоги, отобранные по частотному принципу употребления в «Азбуке».
 Комплектность: карточки с двухбуквенными слогами – 132 шт., пластиковые карманы с магнитами для установки карточек – 3 шт., паспорт.",шт,,690,862.5,2867.2,,Начальная школа,Бумага,,Да,2.1.7.
33,777-НШ00005,"Пособие «Касса букв, слогов, звуковых схем с набором интерактивных таблиц по русскому языку» (360 карточек)","1. Таблицы двусторонние - 12 шт.
 2. Карточки с изображением букв и знаков - 130 шт.
 3. Карточки с изображением заглавных букв - 54 шт.
 4. Карточки с картинками - 55 шт.
 5. Карточки со слогами - 126 шт.
 6. Брошюра с методическими рекомендациями - 1 шт.
 7. Магниты для карточек - 365 шт.
 8. Магнитные кнопки - 8 шт.
 9. Паспорт - 1 шт.
Упаковано в большую коробку.
Ламинируются только двухсторонние поля",шт,,3715,4643.75,8358.75,,Начальная школа,Бумага,,,2.1.9.
34,777-НШ00180,Сюжетные (предметные) картинки по русскому языку и литературному чтению для начальных классов «4 сезона»,"Набор предназначен для работы на классных, внеклассных занятиях с детьми дошкольного и младшего школьного возраста на уроках русского языка и литературного чтения.
Комплект включает в себя упаковку с карточками и упаковку с сюжетными картинками.  В составе: 
    • карточки предметные — 211 шт.,
    • карточки сюжетные — 4 шт.,
    • руководство по эксплуатации — 1 шт.
Набор состоит из предметных карточек, размером 17 х 25 см. На карточках изображены предметы из следующих областей:  
    • насекомые и дикие животные (11 штук);
    • домашние животные (14 штук);
    • овощи,  музыкальные инструменты (46 штук);
    • оружие, военная техника, инструменты (48 штук);
    • транспорт. мебель, предметы интерьера (46 штук);
    • фрукты, ягоды, орехи. посуда  (46 штук).
На сюжетных картинках, размером 50 х 30 см. изображен условный пейзаж, изображающий состояние природы в четырех временах года: зима, весна, лето и осень. Выполнен на плотной бумаге, покрыт матовой ламинирующей пленкой с двух сторон.",компл,,4970,6212.5,11182.5,,Начальная школа,Бумага,,,2.1.8.
35,10306-НШ00043,Перекидное табло букв и слогов,"Ламинированное пособие состоит из 2 стопок карточек с буквами русского алфавита. 
В одной стопке карточки с буквами, обозначающими согласные звуки, в другой – с буквами, обозначающими гласные. 
Детали пособия соединены спиралью, что позволяет легко перекидывать их как карточки на судейском табло. Обложки и карточки напечатаны на картоне и ламинированы пленкой.   
Комплектность: перекидное табло – 1 шт., паспорт.  
",шт,,260,325,1702.4,,Начальная школа,Бумага,,Да,2.1.9.
36,10520-НШ00038,"Комплект карточек ""Универсальная платформа. Глагол""","Пособие состоит из 10 полноцветных, напечатанных на картоне и ламинированных пленкой карточек.
предназначен для использования на уроках русского языка в начальной школе.  Используется вместе с наглядно-дидактическим пособием ""Универсальная платформа"".  
Комплектность: карточки с заданиями – 10 шт., паспорт.  
Карточки снабжены маркировкой, где буква обозначает предмет, первая цифра – код темы, вторая цифра – порядковый номер (тему) карточки в серии, последняя цифра – вариант (I или II).",компл,10,290,362.5,739.2,,Начальная школа,Бумага,,Да,2.1.9.
37,10519-НШ00039,"Комплект карточек ""Универсальная платформа. Имя прилагательное""","Пособие состоит из 10 полноцветных, напечатанных на картоне и ламинированных пленкой карточек. 
Комплект карточек предназначен для использования на уроках русского языка в начальной школе.  Используется вместе с наглядно-дидактическим пособием ""Универсальная платформа"". Комплектность: карточки с заданиями – 10 шт., паспорт.  
Карточки снабжены маркировкой, где буква обозначает предмет, первая цифра – код темы, вторая цифра – порядковый номер (тему) карточки в серии, последняя цифра – вариант (I или II).",компл,10,290,362.5,739.2,,Начальная школа,Бумага,,Да,2.1.9.
38,10518-НШ00040,"Комплект карточек ""Универсальная платформа. Имя существительное""","Пособие состоит из 10 полноцветных, напечатанных на картоне и ламинированных пленкой карточек.
Комплект карточек предназначен для использования на уроках русского языка в начальной школе.  Используется вместе с наглядно-дидактическим пособием ""Универсальная платформа"".  Комплектность: карточки с заданиями – 10 шт., паспорт.  
Карточки снабжены маркировкой, где буква обозначает предмет, первая цифра – код темы, вторая цифра – порядковый номер (тему) карточки в серии, последняя цифра – вариант (I или II).",компл,10,290,362.5,739.2,,Начальная школа,Бумага,,Да,2.1.9.
